,LP AL CVP 115 RU RED OXIDE 84300,20 L,Unnamed: 0
0,LP AL CVP 115 RU RED OXIDE 84300,"3,6 L",
1,"LP AL CVP 115 RU GRAY N6,5",20 L,
2,W-LACK CLEAR AL SRA 111,17L,
3,W-LACK CLEAR AL SRA 111,"3,06L",
4,W-LACK AL SRA 111 BLUE RAL 5015,20 L,
5,LP AL SRA 11 RU WHITE RAL 9003,BD-20 L,
6,LP AL SRA 11 RU BRAN RAL 9003,"3,6 L",
7,LP AL SRA 11 RU VERD RAL 6021,20 L,
8,ACRYLIC COATING CLEAR AC N1197,17 L,
9,ACRYLIC COATING CLEAR AC N1197,"3,06 L",
10,ACRYLIC COATING AC N1197 T DARK GREEN 58260,20L,
11,ACRYLIC COATING AC N1197 T SIGNAL RED 85440,20L,
12,W-LACK CLEAR AL CVD 121 COLO,17 L,
13,W-LACK CLEAR AL CVD 121 COLO,"3,06 L",
14,W-LACK CVD 121 R T WHITE RAL 9003,"3,6L",
15,LP CVD 12 RU WHITE RAL 9003,20 L,
16,LP FAST COLOR 250 YELL 10001316,"3,6 L",
17,LP FAST COLOR 250 YELL 10001318,"3,6 L",
18,LP FAST COLOR 255 BLUE 10434546,"3,6 L",
19,LP FAST COLOR ALKYD 250 WHIT 10001322,"3,6 L",
20,LP FAST COLOR 250 RED 10434571,"3,6 L",
21,LP FAST COLOR UNIVERSAL 255 OR 10434586,"3,6 L",
22,LP FAST COLOR UNIVERSAL 255 YE 10001331,"3,6 L",
23,LP FAST COLOR UNIVERSAL 255 OR 10434605,"3,6 L",
24,LP FAST COLOR UNIVERSAL 255 YE 10001334,"3,6 L",
25,LP FAST COLOR UNIVERSAL 255 BL 10001336,"3,6 L",
26,LP FAST COLOR UNIVERSAL 255 GR 10001338,"3,6 L",
27,LP FAST COLOR UNIVERSAL 255 WH 10001339,"3,6 L",
28,LP FAST COLOR UNIVERSAL 255 RE 10001340,"3,6 L",
29,LP FAST COLOR UNIVERSAL 255 BL 10001341,"3,6 L",
30,LP FAST COLOR UNIVERSAL 255 RE 10001342,"3,6 L",
31,LP FAST COLOR UNIVERSAL 255 VI 10001343,"3,6 L",
32,WEGZINC 401 OXYDE RED,8L,
33,HARDENER ET SIL WZINC 401 RU,12L,
34,TL HIGH TEMP HPA 660 SF 600°C RU ALUM 00,"3,6 L",
35,TL HIGH TEMP HPA 660 UF 600°C RU BLACK,"3,6 L",
36,,,
37,W-THANE PU HPA 501 R BLUE RAL 5005,"17,15",
38,W-THANE PU HPA 501 WHIT RAL 9003,"17,15",
39,TL PU HPA 501 RU PRET N1,"17,15 L",
40,W-THANE CLEAR PU HPA 501,"14,15L",
41,HARDENER PU 5058 RU,"2,85L",
42,W-THANE PU HPA 501 BLAC N1,"3,08L",
43,W-THANE PU HPA 501 WHIT RAL 9003,"3,08L",
44,W-THANE CLEAR PU HPA 501,"2,54L",
45,HARDENER PU 5058 RU,"0,52L",
